Percos,3/26/25,,,,,,
wet weight,wgt of one petal,,,,,,there are also measurements of surface conductance
area,area of scanned petal - using imagej,,,,,,in porotmeter file adaxial is measured 2nd.
length,length of petal measured in field,,,,,,
adaxial,adaxial surface conductance,,,,,,
abaxial,abaxial surface conductance,,,,,,
