Time,Time_cat,Petal status,uv index,Date,Plant,Photo,Wet_weight_mg,Dry_weight_mg,Petal_area_cm2,water_cm2,tissue_cm2,water_mg
6:00,6,closed,0,6-Jul-22,68,x,97.3,14.4,4.705,17.62,3.06,5.756944444
6:00,6,closed,0,6-Jul-22,69,x,46.6,6.9,3.833,10.36,1.8,5.753623188
6:00,6,closed,0,6-Jul-22,70,x,92.8,11.3,5.125,15.9,2.2,7.212389381
6:00,6,closed,0,6-Jul-22,71,x,114.1,14.7,6.872,14.46,2.14,6.761904762
6:00,6,closed,0,6-Jul-22,72,x,36.2,7,5.128,5.69,1.37,4.171428571
6:00,6,closed,0,6-Jul-22,73,x,58.9,9.8,4.083,12.03,2.4,5.010204082
6:00,6,closed,0,6-Jul-22,74,x,23,3.7,1.384,13.95,2.67,5.216216216
6:00,6,closed,0,6-Jul-22,75,x,51.2,7.5,3.153,13.86,2.38,5.826666667
6:00,6,closed,0,6-Jul-22,76,x,33,5.5,3.525,7.8,1.56,5
6:00,6,closed,0,6-Jul-22,77,x,130.2,16.1,7.242,15.76,2.22,7.086956522
6:00,6,closed,0,6-Jul-22,78,x,104.3,11.1,7.282,12.8,1.52,8.396396396
6:00,6,closed,0,6-Jul-22,79,x,82.4,11.5,4.996,14.19,2.3,6.165217391
6:00,6,closed,0,6-Jul-22,80,x,42.4,5.9,3.285,11.11,1.8,6.186440678
6:00,6,closed,0,6-Jul-22,81,x,47.1,7.1,2.707,14.78,2.62,5.633802817
6:00,6,closed,0,6-Jul-22,82,x,56,7.8,5.718,8.43,1.36,6.179487179
6:00,6,closed,0,6-Jul-22,83,x,52,6.7,3.436,13.18,1.95,6.76119403
6:00,6,closed,0,6-Jul-22,84,x,213.4,27.4,9.463,19.66,2.9,6.788321168
6:00,6,closed,0,6-Jul-22,85,x,46,7.4,4.177,9.24,1.77,5.216216216
6:00,6,closed,0,6-Jul-22,86,x,84.5,12.3,5.376,13.43,2.29,5.869918699
6:00,6,closed,0,6-Jul-22,87,x,63.6,9.2,3.197,17.02,2.88,5.913043478
6:00,6,closed,0,6-Jul-22,88,x,59.3,19.2,3.587,11.18,5.35,2.088541667
6:00,6,closed,0,6-Jul-22,89,x,60.9,8.2,3.404,15.48,2.41,6.426829268
6:00,6,closed,0,6-Jul-22,90,x,32.2,5.6,2.303,11.55,2.43,4.75
12:00,12,open,8,10-Aug-22,91,x,46.5,7.9,4.533,8.52,1.74,4.886075949
12:00,12,open,8,10-Aug-22,92,x,66.3,9.7,5.123,11.05,1.89,5.835051546
12:00,12,open,8,10-Aug-22,93,x,36.4,5.3,3.11,10.00,1.70,5.867924528
12:00,12,open,8,10-Aug-22,94,x,12.1,2.2,0.82,12.07,2.68,4.5
12:00,12,open,8,10-Aug-22,95,x,76,10.8,5.831,11.18,1.85,6.037037037
12:00,12,open,8,10-Aug-22,96,x,40.4,5.7,2.992,11.60,1.91,6.087719298
12:00,12,open,8,10-Aug-22,97,x,34.2,5.2,2.807,10.33,1.85,5.576923077
12:00,12,open,8,10-Aug-22,98,x,53.8,7.4,4.419,10.50,1.67,6.27027027
12:00,12,open,8,10-Aug-22,99,x,33.1,4.7,3.077,9.23,1.53,6.042553191
12:00,12,open,8,10-Aug-22,100,x,29.9,4.7,2.754,9.15,1.71,5.361702128
