1-Wire/iButton Part Number: DS1921G-F5,,,
1-Wire/iButton Registration Number: 55000000492FED21,,,
Is Mission Active?  true,,,
Mission Start:  Sat May 21 10:32:00 PDT 2022,,,
Sample Rate:  Every 5 minute(s),,,
Number of Mission Samples:  866,,,
Total Samples:  14362,,,
Roll Over Enabled?  false,,,
Roll Over Occurred?  Roll over has NOT occurred,,,
Active Alarms:  None fired,,,
Next Clock Alarm At:  Disabled,,,
High Temperature Alarm:  85 °C,,,
Low Temperature Alarm:  -40 °C,,,
,,,
Date,Time,Unit,Value
5/23/22, 7:07:00 AM,C,12.5
5/23/22, 7:12:00 AM,C,12.5
5/23/22, 7:17:00 AM,C,12.5
5/23/22, 7:22:00 AM,C,12.5
5/23/22, 7:27:00 AM,C,13
5/23/22, 7:32:00 AM,C,13
5/23/22, 7:37:00 AM,C,13
5/23/22, 7:42:00 AM,C,13.5
5/23/22, 7:47:00 AM,C,13.5
5/23/22, 7:52:00 AM,C,14
5/23/22, 7:57:00 AM,C,14
5/23/22, 8:02:00 AM,C,14.5
5/23/22, 8:07:00 AM,C,15
5/23/22, 8:12:00 AM,C,15
5/23/22, 8:17:00 AM,C,15
5/23/22, 8:22:00 AM,C,16.5
5/23/22, 8:27:00 AM,C,17
5/23/22, 8:32:00 AM,C,17
5/23/22, 8:37:00 AM,C,16.5
5/23/22, 8:42:00 AM,C,16
5/23/22, 8:47:00 AM,C,16
5/23/22, 8:52:00 AM,C,16
5/23/22, 8:57:00 AM,C,16
5/23/22, 9:02:00 AM,C,16
5/23/22, 9:07:00 AM,C,16.5
5/23/22, 9:12:00 AM,C,17
5/23/22, 9:17:00 AM,C,17
5/23/22, 9:22:00 AM,C,17.5
5/23/22, 9:27:00 AM,C,17.5
5/23/22, 9:32:00 AM,C,18
5/23/22, 9:37:00 AM,C,18
5/23/22, 9:42:00 AM,C,18.5
5/23/22, 9:47:00 AM,C,18.5
5/23/22, 9:52:00 AM,C,19
5/23/22, 9:57:00 AM,C,19
5/23/22, 10:02:00 AM,C,19
5/23/22, 10:07:00 AM,C,19.5
