Date, PAR(µmol/m²s)
Mar 6 2025 9:10:00 PM, 0.236
Mar 6 2025 9:15:00 PM, 0.302
Mar 6 2025 9:20:00 PM, 0.242
Mar 6 2025 9:25:00 PM, 0.233
Mar 6 2025 9:30:00 PM, 0.224
Mar 6 2025 9:35:00 PM, 0.254
Mar 6 2025 9:40:00 PM, 0.224
Mar 6 2025 9:45:00 PM, 0.251
Mar 6 2025 9:50:00 PM, 0.168
Mar 6 2025 9:55:00 PM, 0.272
Mar 6 2025 10:00:00 PM, 0.263
Mar 6 2025 10:05:00 PM, 0.239
Mar 6 2025 10:10:00 PM, 0.2
Mar 6 2025 10:15:00 PM, 0.135
Mar 6 2025 10:20:00 PM, 0.171
Mar 6 2025 10:25:00 PM, 0.192
Mar 6 2025 10:30:00 PM, 0.188
Mar 6 2025 10:35:00 PM, 0.376
Mar 6 2025 10:40:00 PM, 0.248
Mar 6 2025 10:45:00 PM, 0.165
Mar 6 2025 10:50:00 PM, 0.209
Mar 6 2025 10:55:00 PM, 0.2
Mar 6 2025 11:00:00 PM, 0.287
Mar 6 2025 11:05:00 PM, 0.245
Mar 6 2025 11:10:00 PM, 0.203
Mar 6 2025 11:15:00 PM, 0.317
Mar 6 2025 11:20:00 PM, 0.159
Mar 6 2025 11:25:00 PM, 0.147
Mar 6 2025 11:30:00 PM, 0.287
Mar 6 2025 11:35:00 PM, 0.275
Mar 6 2025 11:40:00 PM, 0.32
Mar 6 2025 11:45:00 PM, 0.299
Mar 6 2025 11:50:00 PM, 0.224
Mar 6 2025 11:55:00 PM, 0.272
Mar 7 2025 12:00:00 AM, 0.144
Mar 7 2025 12:05:00 AM, 0.212
Mar 7 2025 12:10:00 AM, 0.245
Mar 7 2025 12:15:00 AM, 0.2
Mar 7 2025 12:20:00 AM, 0.197
Mar 7 2025 12:25:00 AM, 0.281
Mar 7 2025 12:30:00 AM, 0.218
Mar 7 2025 12:35:00 AM, 0.257
Mar 7 2025 12:40:00 AM, 0.206
Mar 7 2025 12:45:00 AM, 0.314
Mar 7 2025 12:50:00 AM, 0.209
Mar 7 2025 12:55:00 AM, 0.174
Mar 7 2025 1:00:00 AM, 0.257
Mar 7 2025 1:05:00 AM, 0.2
Mar 7 2025 1:10:00 AM, 0.18
Mar 7 2025 1:15:00 AM, 0.406
Mar 7 2025 1:20:00 AM, 0.242
Mar 7 2025 1:25:00 AM, 0.275
Mar 7 2025 1:30:00 AM, 0.18
Mar 7 2025 1:35:00 AM, 0.186
Mar 7 2025 1:40:00 AM, 0.186
Mar 7 2025 1:45:00 AM, 0.275
Mar 7 2025 1:50:00 AM, 0.192
Mar 7 2025 1:55:00 AM, 0.299
Mar 7 2025 2:00:00 AM, 0.254
Mar 7 2025 2:05:00 AM, 0.272
Mar 7 2025 2:10:00 AM, 0.251
Mar 7 2025 2:15:00 AM, 0.287
Mar 7 2025 2:20:00 AM, 0.081
Mar 7 2025 2:25:00 AM, 0.251
Mar 7 2025 2:30:00 AM, 0.245
Mar 7 2025 2:35:00 AM, 0.272
Mar 7 2025 2:40:00 AM, 0.141
Mar 7 2025 2:45:00 AM, 0.284
Mar 7 2025 2:50:00 AM, 0.194
Mar 7 2025 2:55:00 AM, 0.194
Mar 7 2025 3:00:00 AM, 0.218
Mar 7 2025 3:05:00 AM, 0.236
Mar 7 2025 3:10:00 AM, 0.278
Mar 7 2025 3:15:00 AM, 0.263
Mar 7 2025 3:20:00 AM, 0.299
Mar 7 2025 3:25:00 AM, 0.272
Mar 7 2025 3:30:00 AM, 0.254
Mar 7 2025 3:35:00 AM, 0.308
Mar 7 2025 3:40:00 AM, 0.206
Mar 7 2025 3:45:00 AM, 0.236
Mar 7 2025 3:50:00 AM, 0.18
Mar 7 2025 3:55:00 AM, 0.227
Mar 7 2025 4:00:00 AM, 0.272
Mar 7 2025 4:05:00 AM, 0.2
Mar 7 2025 4:10:00 AM, 0.182
Mar 7 2025 4:15:00 AM, 0.308
Mar 7 2025 4:20:00 AM, 0.236
Mar 7 2025 4:25:00 AM, 0.266
Mar 7 2025 4:30:00 AM, 0.165
Mar 7 2025 4:35:00 AM, 0.311
Mar 7 2025 4:40:00 AM, 0.194
Mar 7 2025 4:45:00 AM, 0.29
Mar 7 2025 4:50:00 AM, 0.248
Mar 7 2025 4:55:00 AM, 0.326
Mar 7 2025 5:00:00 AM, 0.263
Mar 7 2025 5:05:00 AM, 0.147
Mar 7 2025 5:10:00 AM, 0.194
Mar 7 2025 5:15:00 AM, 0.293
Mar 7 2025 5:20:00 AM, 0.227
Mar 7 2025 5:25:00 AM, 0.242
Mar 7 2025 5:30:00 AM, 0.251
Mar 7 2025 5:35:00 AM, 0.165
Mar 7 2025 5:40:00 AM, 0.284
Mar 7 2025 5:45:00 AM, 0.203
Mar 7 2025 5:50:00 AM, 0.26
Mar 7 2025 5:55:00 AM, 0.239
Mar 7 2025 6:00:00 AM, 0.424
Mar 7 2025 6:05:00 AM, 0.466
Mar 7 2025 6:10:00 AM, 1.223
Mar 7 2025 6:15:00 AM, 2.918
Mar 7 2025 6:20:00 AM, 6.551
Mar 7 2025 6:25:00 AM, 12.172
Mar 7 2025 6:30:00 AM, 20.058
Mar 7 2025 6:35:00 AM, 29.618
Mar 7 2025 6:40:00 AM, 40.13
Mar 7 2025 6:45:00 AM, 51.669
Mar 7 2025 6:50:00 AM, 97.869
Mar 7 2025 6:55:00 AM, 132.165
Mar 7 2025 7:00:00 AM, 161.881
Mar 7 2025 7:05:00 AM, 193.218
Mar 7 2025 7:10:00 AM, 225.816
Mar 7 2025 7:15:00 AM, 260.178
Mar 7 2025 7:20:00 AM, 296.74
Mar 7 2025 7:25:00 AM, 333.763
Mar 7 2025 7:30:00 AM, 371.663
Mar 7 2025 7:35:00 AM, 409.902
Mar 7 2025 7:40:00 AM, 448.216
Mar 7 2025 7:45:00 AM, 485.597
Mar 7 2025 7:50:00 AM, 525.708
Mar 7 2025 7:55:00 AM, 565.214
Mar 7 2025 8:00:00 AM, 606.067
Mar 7 2025 8:05:00 AM, 642.986
Mar 7 2025 8:10:00 AM, 683.38
Mar 7 2025 8:15:00 AM, 721.485
Mar 7 2025 8:20:00 AM, 761.802
Mar 7 2025 8:25:00 AM, 800.232
Mar 7 2025 8:30:00 AM, 835.831
Mar 7 2025 8:35:00 AM, 876.612
Mar 7 2025 8:40:00 AM, 914.157
Mar 7 2025 8:45:00 AM, 952.098
Mar 7 2025 8:50:00 AM, 991.941
Mar 7 2025 8:55:00 AM, 1026.077
Mar 7 2025 9:00:00 AM, 1061.896
Mar 7 2025 9:05:00 AM, 1099.408
Mar 7 2025 9:10:00 AM, 1134.933
Mar 7 2025 9:15:00 AM, 1172.266
Mar 7 2025 9:20:00 AM, 1206.732
Mar 7 2025 9:25:00 AM, 1239.795
Mar 7 2025 9:30:00 AM, 1273.442
Mar 7 2025 9:35:00 AM, 1306.126
Mar 7 2025 9:40:00 AM, 1332.734
Mar 7 2025 9:45:00 AM, 1364.142
Mar 7 2025 9:50:00 AM, 1391.909
Mar 7 2025 9:55:00 AM, 1422.242
Mar 7 2025 10:00:00 AM, 1448.426
Mar 7 2025 10:05:00 AM, 1472.709
Mar 7 2025 10:10:00 AM, 1500.604
Mar 7 2025 10:15:00 AM, 1532.621
Mar 7 2025 10:20:00 AM, 1556.218
Mar 7 2025 10:25:00 AM, 1588.11
Mar 7 2025 10:30:00 AM, 1600.046
Mar 7 2025 10:35:00 AM, 1619.158
Mar 7 2025 10:40:00 AM, 1645.303
Mar 7 2025 10:45:00 AM, 1661.03
Mar 7 2025 10:50:00 AM, 1682.333
Mar 7 2025 10:55:00 AM, 1695.127
Mar 7 2025 11:00:00 AM, 1708.842
Mar 7 2025 11:05:00 AM, 1726.908
Mar 7 2025 11:10:00 AM, 1745.916
Mar 7 2025 11:15:00 AM, 1764.328
Mar 7 2025 11:20:00 AM, 1773.325
Mar 7 2025 11:25:00 AM, 1781.429
Mar 7 2025 11:30:00 AM, 1798.231
Mar 7 2025 11:35:00 AM, 1807.818
Mar 7 2025 11:40:00 AM, 1814.307
Mar 7 2025 11:45:00 AM, 1816.512
Mar 7 2025 11:50:00 AM, 1829.181
Mar 7 2025 11:55:00 AM, 1823.003
Mar 7 2025 12:00:00 PM, 1832.858
Mar 7 2025 12:05:00 PM, 1846.726
Mar 7 2025 12:10:00 PM, 1841.558
Mar 7 2025 12:15:00 PM, 1832.742
Mar 7 2025 12:20:00 PM, 1835.413
Mar 7 2025 12:25:00 PM, 1835.877
Mar 7 2025 12:30:00 PM, 1838.637
Mar 7 2025 12:35:00 PM, 1831.1
Mar 7 2025 12:40:00 PM, 1830.665
Mar 7 2025 12:45:00 PM, 1835.526
Mar 7 2025 12:50:00 PM, 1824.153
Mar 7 2025 12:55:00 PM, 1815.537
Mar 7 2025 1:00:00 PM, 1815.451
Mar 7 2025 1:05:00 PM, 1725.066
Mar 7 2025 1:10:00 PM, 1763.941
Mar 7 2025 1:15:00 PM, 1774.202
Mar 7 2025 1:20:00 PM, 1746.113
Mar 7 2025 1:25:00 PM, 1752.926
Mar 7 2025 1:30:00 PM, 1741.151
Mar 7 2025 1:35:00 PM, 1723.606
Mar 7 2025 1:40:00 PM, 1712.287
Mar 7 2025 1:45:00 PM, 1710.082
Mar 7 2025 1:50:00 PM, 1712.01
Mar 7 2025 1:55:00 PM, 1627.13
Mar 7 2025 2:00:00 PM, 1596.314
Mar 7 2025 2:05:00 PM, 1565.451
Mar 7 2025 2:10:00 PM, 1548.723
Mar 7 2025 2:15:00 PM, 1532.663
Mar 7 2025 2:20:00 PM, 1510.522
Mar 7 2025 2:25:00 PM, 1475.484
Mar 7 2025 2:30:00 PM, 1444.758
Mar 7 2025 2:35:00 PM, 1409.99
Mar 7 2025 2:40:00 PM, 1378.418
Mar 7 2025 2:45:00 PM, 1347.602
Mar 7 2025 2:50:00 PM, 1315.371
Mar 7 2025 2:55:00 PM, 1283.474
Mar 7 2025 3:00:00 PM, 1241.509
Mar 7 2025 3:05:00 PM, 1175.431
Mar 7 2025 3:10:00 PM, 1167.057
Mar 7 2025 3:15:00 PM, 1142.795
Mar 7 2025 3:20:00 PM, 1106.486
Mar 7 2025 3:25:00 PM, 1066.152
Mar 7 2025 3:30:00 PM, 1025.257
Mar 7 2025 3:35:00 PM, 979.642
Mar 7 2025 3:40:00 PM, 291.259
Mar 7 2025 3:45:00 PM, 195.278
Mar 7 2025 3:50:00 PM, 191.919
Mar 7 2025 3:55:00 PM, 183.327
Mar 7 2025 4:00:00 PM, 174.493
Mar 7 2025 4:05:00 PM, 167.073
Mar 7 2025 4:10:00 PM, 162.522
Mar 7 2025 4:15:00 PM, 156.448
Mar 7 2025 4:20:00 PM, 151.617
Mar 7 2025 4:25:00 PM, 147.564
Mar 7 2025 4:30:00 PM, 145.102
Mar 7 2025 4:35:00 PM, 144.444
Mar 7 2025 4:40:00 PM, 139.821
Mar 7 2025 4:45:00 PM, 135.244
Mar 7 2025 4:50:00 PM, 127.361
Mar 7 2025 4:55:00 PM, 120.292
Mar 7 2025 5:00:00 PM, 114.117
